BUILD_CODE,WORK_TYPE,ID,START,END,COST
2.2,SIP Перекрытие 1-го этажа,2968442,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2979836,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2979837,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2979838,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2979839,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2979841,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983787,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983788,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983789,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983790,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983792,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983815,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983816,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983817,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983818,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983820,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983823,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983824,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983825,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983826,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983828,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983831,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983832,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983833,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983834,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983836,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983839,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983840,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983841,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983842,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983844,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983847,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983848,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983849,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983850,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983852,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983855,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983856,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983857,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983858,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2983860,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984156,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984157,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984158,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984159,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984221,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984224,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984225,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984227,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984245,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984248,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984249,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984266,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984269,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984270,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984275,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984278,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984279,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984284,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984287,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984288,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984293,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984296,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984297,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984302,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984305,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984306,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984311,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984314,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984315,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984320,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984323,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984329,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984332,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984333,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984335,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984350,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984353,05.07.2025,05.08.2025,100
2.2,SIP Перекрытие 1-го этажа,2984354,05.07.2025,05.08.2025,100
